Time,memory_usage.mean
2021-04-13 15:08:01,645775360
2021-04-13 15:08:03,645906432
2021-04-13 15:08:04,645779456
2021-04-13 15:08:06,645779456
2021-04-13 15:08:07,648007680
2021-04-13 15:08:08,647880704
2021-04-13 15:08:10,648093696
2021-04-13 15:08:11,648138752
2021-04-13 15:08:12,648036352
2021-04-13 15:08:14,648036352
2021-04-13 15:08:15,648040448
2021-04-13 15:08:17,648040448
2021-04-13 15:08:18,648040448
2021-04-13 15:08:20,648302592
2021-04-13 15:08:22,648339456
2021-04-13 15:08:23,648290304
2021-04-13 15:08:25,648421376
2021-04-13 15:08:27,650608640
2021-04-13 15:08:28,650608640
2021-04-13 15:08:29,650608640
2021-04-13 15:08:31,650866688
2021-04-13 15:08:33,650756096
2021-04-13 15:08:34,650756096
2021-04-13 15:08:36,650887168
2021-04-13 15:08:38,650760192
2021-04-13 15:08:40,650919936
2021-04-13 15:08:41,653406208
2021-04-13 15:08:42,653066240
2021-04-13 15:08:44,653066240
2021-04-13 15:08:46,653066240
2021-04-13 15:08:47,653066240
2021-04-13 15:08:48,653066240
2021-04-13 15:08:50,653352960
2021-04-13 15:08:52,653238272
2021-04-13 15:08:53,653369344
2021-04-13 15:08:55,653242368
2021-04-13 15:08:56,653299712
2021-04-13 15:08:58,653299712
2021-04-13 15:08:59,653299712
2021-04-13 15:09:00,653496320
2021-04-13 15:09:02,653586432
2021-04-13 15:09:03,655712256
2021-04-13 15:09:05,655712256
2021-04-13 15:09:06,655843328
2021-04-13 15:09:08,655716352
2021-04-13 15:09:09,655716352
2021-04-13 15:09:11,655937536
2021-04-13 15:09:12,655872000
2021-04-13 15:09:14,655872000
2021-04-13 15:09:15,655872000
2021-04-13 15:09:16,655872000
2021-04-13 15:09:17,655880192
2021-04-13 15:09:18,655880192
2021-04-13 15:09:20,658145280
2021-04-13 15:09:21,658014208
2021-04-13 15:09:23,658145280
2021-04-13 15:09:24,658145280
2021-04-13 15:09:26,658018304
2021-04-13 15:09:27,658329600
2021-04-13 15:09:29,658206720
2021-04-13 15:09:30,658366464
2021-04-13 15:09:31,658317312
2021-04-13 15:09:33,658317312
2021-04-13 15:09:34,658317312
2021-04-13 15:09:36,658448384
2021-04-13 15:09:37,658321408
2021-04-13 15:09:38,658321408
2021-04-13 15:09:40,660717568
2021-04-13 15:09:41,660602880
2021-04-13 15:09:43,660602880
2021-04-13 15:09:45,660602880
2021-04-13 15:09:46,660733952
2021-04-13 15:09:48,660746240
2021-04-13 15:09:49,660619264
2021-04-13 15:09:50,660852736
2021-04-13 15:09:52,660799488
2021-04-13 15:09:54,660799488
2021-04-13 15:09:55,660799488
2021-04-13 15:09:57,660844544
2021-04-13 15:09:58,660844544
2021-04-13 15:09:59,660844544
2021-04-13 15:10:00,663293952
2021-04-13 15:10:02,663207936
2021-04-13 15:10:03,663207936
2021-04-13 15:10:05,663207936
2021-04-13 15:10:06,663339008
2021-04-13 15:10:07,663339008
2021-04-13 15:10:08,663339008
2021-04-13 15:10:10,663601152
